q_mods,method,method_label,n_predicates,qerror_gm,qerror_mean,improvement_vs_stale_pct,win_vs_isomer_frac,tie_vs_isomer_frac
3,proj_quicksel,QuickSel-init,1024,1.277618539343835,1.335741649697077,14.498583402026402,0.5224609375,0.0
5,stale,Stale,1024,1.6642003333369029,1.8840008900969802,0.0,0.2001953125,0.0
5,proj_stale,ISOMER/ISOMER,1024,1.3242654456355003,1.461174345540914,20.42632013056962,0.0,1.0
5,oasis_no_proj,OASIS-noProj,1024,1.3413182923785647,1.4377166427558554,19.401632993963204,0.5234375,0.0
5,proj_oasis,OASIS,1024,1.2496042227704263,1.299042453651829,24.91263234728275,0.6298828125,0.0
5,proj_fresh,Fresh-init,1024,1.1508326418495871,1.1797104328016428,30.847709930327778,0.8125,0.0
5,fresh,Fresh,1024,1.0,1.0,39.911080416929664,1.0,0.0
5,stholes_no_proj,STHoles (raw),1024,1.3544161280060774,1.4905411883744624,18.61459820222932,0.4697265625,0.0
5,proj_stholes,STHoles-init,1024,1.3078743932185406,1.4633312152572497,21.411240761134206,0.6689453125,0.0
5,quicksel_no_proj,QuickSel-H (raw),1024,1.3625217032374686,1.487710601587932,18.12754294397573,0.4169921875,0.0
5,proj_quicksel,QuickSel-init,1024,1.280590887544553,1.3792248938737388,23.050677139522683,0.607421875,0.0
10,stale,Stale,1024,3.372669558200099,5.599127970960462,0.0,0.1728515625,0.0
10,proj_stale,ISOMER/ISOMER,1024,1.5323532632808685,1.7242064267745034,54.56556781392354,0.0,1.0
10,oasis_no_proj,OASIS-noProj,1024,1.5844794544185488,1.818166255875407,53.020020874379945,0.4296875,0.0
10,proj_oasis,OASIS,1024,1.3873650312132726,1.46315487668959,58.86448383773265,0.5947265625,0.0
10,proj_fresh,Fresh-init,1024,1.1829630699959246,1.217159606778426,64.92502305422298,0.787109375,0.0
10,fresh,Fresh,1024,1.0,1.0,70.34989693642942,1.0,0.0
10,stholes_no_proj,STHoles (raw),1024,1.7426638106398002,2.2662286548879473,48.32983840937528,0.3642578125,0.0
10,proj_stholes,STHoles-init,1024,1.509029381582818,1.7954939501182818,55.257123310113265,0.6181640625,0.0
10,quicksel_no_proj,QuickSel-H (raw),1024,1.7677777172873665,2.040451163319157,47.585208488946044,0.3662109375,0.0
10,proj_quicksel,QuickSel-init,1024,1.431262550080836,1.5428746659119186,57.56291787907436,0.60546875,0.0
15,stale,Stale,1024,2.9372282158984806,4.66564109099894,0.0,0.244140625,0.0
15,proj_stale,ISOMER/ISOMER,1024,1.959661894827746,2.79707747187432,33.28193280247728,0.0,1.0
15,oasis_no_proj,OASIS-noProj,1024,1.60325477108201,1.8705051077040817,45.41606394750011,0.6025390625,0.0
15,proj_oasis,OASIS,1024,1.4480289480735558,1.5989808547332123,50.700836242967505,0.7451171875,0.0
15,proj_fresh,Fresh-init,1024,1.185476394489201,1.266841070517124,59.63962255052181,0.8759765625,0.0
15,fresh,Fresh,1024,1.0,1.0,65.95429682354097,1.0,0.0
15,stholes_no_proj,STHoles (raw),1024,1.9101259832346078,2.731451466723217,34.96841774515258,0.4462890625,0.0
15,proj_stholes,STHoles-init,1024,1.7371099342062069,2.490295303169062,40.8588707951372,0.6474609375,0.0
15,quicksel_no_proj,QuickSel-H (raw),1024,1.895049516880217,2.504578702535685,35.48170664360404,0.5419921875,0.0
15,proj_quicksel,QuickSel-init,1024,1.7002226706768817,2.3279944312490835,42.11472362024843,0.7431640625,0.0
20,stale,Stale,1024,3.416762957605171,5.198023672432576,0.0,0.1318359375,0.0
20,proj_stale,ISOMER/ISOMER,1024,1.6239652414189705,1.9038701558195925,52.47064951332716,0.0,1.0
20,oasis_no_proj,OASIS-noProj,1024,1.5697927622862708,1.701642885745859,54.05614080449562,0.455078125,0.0
20,proj_oasis,OASIS,1024,1.3638917277534834,1.4428513349741972,60.08234271219555,0.630859375,0.0
20,proj_fresh,Fresh-init,1024,1.1394336735396817,1.1755141409429846,66.65166159673197,0.8505859375,0.0
20,fresh,Fresh,1024,1.0,1.0,70.73253215374045,1.0,0.0
20,stholes_no_proj,STHoles (raw),1024,1.776554848296294,2.188936383683401,48.00473810037171,0.4462890625,0.0
20,proj_stholes,STHoles-init,1024,1.5019236081682394,1.7678851025632507,56.04249909039793,0.6474609375,0.0
20,quicksel_no_proj,QuickSel-H (raw),1024,1.8484025727016826,2.1744024810810014,45.901937136510085,0.400390625,0.0
20,proj_quicksel,QuickSel-init,1024,1.4493183318799845,1.5701057082480792,57.58212232270804,0.6298828125,0.0
25,stale,Stale,1024,3.6578996520192852,6.438781474817778,0.0,0.2744140625,0.0
25,proj_stale,ISOMER/ISOMER,1024,2.107397637837629,3.3260003431058123,42.387767890946,0.0,1.0
25,oasis_no_proj,OASIS-noProj,1024,1.6519403810055049,1.8833627411483227,54.8391006272253,0.5615234375,0.0
25,proj_oasis,OASIS,1024,1.579123476833057,2.0497840642586667,56.82977590811363,0.6865234375,0.0
25,proj_fresh,Fresh-init,1024,1.2823238877189043,1.5020751651398896,64.94371060695944,0.83984375,0.0
25,fresh,Fresh,1024,1.0,1.0,72.66190723827086,1.0,0.0
25,stholes_no_proj,STHoles (raw),1024,2.0504876643550576,2.615038844414799,43.943578025080086,0.443359375,0.0
25,proj_stholes,STHoles-init,1024,1.8903691750207023,2.5586382299597994,48.320912139370634,0.6416015625,0.0
25,quicksel_no_proj,QuickSel-H (raw),1024,1.8937024473480493,2.292009307263883,48.229786831285516,0.546875,0.0
25,proj_quicksel,QuickSel-init,1024,1.7164479505801873,2.1745832427426848,53.07558670635895,0.669921875,0.0
30,stale,Stale,1024,3.746706236656142,6.173595179177352,0.0,0.15625,0.0
30,proj_stale,ISOMER/ISOMER,1024,1.5895182822871328,1.8812614864614239,57.5755828750069,0.0,1.0
30,oasis_no_proj,OASIS-noProj,1024,1.5822940629025704,1.751973883577691,57.76839808197145,0.5126953125,0.0
30,proj_oasis,OASIS,1024,1.3635394009789812,1.4488310263200341,63.60698397865555,0.642578125,0.0
30,proj_fresh,Fresh-init,1024,1.1649763160475224,1.2369290322137243,68.90665447293675,0.880859375,0.0
30,fresh,Fresh,1024,1.0,1.0,73.3098904254506,1.0,0.0
